2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
746.044312	0.852557	0.868128	0.857132	0.842969	0.872609	
747.633179	0.853136	0.868307	0.857534	0.843676	0.872657	
749.221985	0.854059	0.868400	0.857228	0.843480	0.872148	
750.810669	0.854188	0.868505	0.856613	0.843285	0.871942	
752.399170	0.855360	0.869271	0.856750	0.843337	0.872253	
753.987610	0.855715	0.869202	0.856903	0.843544	0.872075	
755.575867	0.856051	0.868844	0.856768	0.843426	0.872440	
757.164063	0.855997	0.869139	0.856744	0.842918	0.871427	
758.752136	0.856270	0.868903	0.857301	0.843412	0.871579	
760.340027	0.856688	0.869084	0.856791	0.843424	0.871864	
761.927856	0.857086	0.869045	0.857498	0.843272	0.871888	
763.515503	0.857670	0.868758	0.857400	0.843127	0.872210	
765.103149	0.857910	0.869151	0.857234	0.842806	0.871917	
766.690552	0.857928	0.869077	0.856877	0.842889	0.871662	
768.277832	0.858283	0.868697	0.856923	0.842704	0.871402	
769.865051	0.858660	0.868792	0.857042	0.842904	0.871636	
771.452026	0.858676	0.868766	0.856377	0.842876	0.871462	
773.039001	0.858599	0.868600	0.856458	0.842405	0.871366	
774.625793	0.858686	0.868798	0.856212	0.842297	0.871252	
776.212463	0.858596	0.868353	0.856665	0.842267	0.871246	
777.799011	0.859086	0.869021	0.856302	0.842128	0.871525	
779.385376	0.859242	0.868432	0.856429	0.843003	0.871217	
780.971680	0.859810	0.868708	0.855673	0.842158	0.870694	
782.557861	0.859880	0.868466	0.856753	0.842983	0.871467	
784.143860	0.859874	0.868511	0.856277	0.842910	0.871491	
785.729736	0.859462	0.868373	0.856334	0.843051	0.870930	
787.315491	0.860304	0.868310	0.855959	0.842927	0.870622	
788.901123	0.860020	0.868378	0.856086	0.842721	0.870126	
790.486633	0.860519	0.868267	0.856064	0.843004	0.870112	
792.071960	0.859547	0.867423	0.855844	0.842812	0.870543	
793.657166	0.860269	0.868232	0.855912	0.842215	0.870061	
795.242249	0.860155	0.868034	0.856100	0.843460	0.870065	
796.827209	0.860182	0.868037	0.855639	0.842301	0.870458	
798.411987	0.860512	0.867707	0.855637	0.842817	0.870572	
799.996704	0.860479	0.867461	0.855305	0.842341	0.869853	
801.581177	0.860471	0.867725	0.854935	0.842366	0.870121	
803.165649	0.860656	0.867428	0.855966	0.841921	0.870288	
804.749878	0.860438	0.867905	0.855548	0.842217	0.870454	
806.333984	0.861008	0.867296	0.854827	0.841981	0.869925	
807.917969	0.860598	0.867321	0.855149	0.841695	0.869880	
809.501831	0.861000	0.866941	0.855221	0.841914	0.869830	
811.085510	0.860487	0.866430	0.855092	0.841904	0.869395	
812.669067	0.860990	0.866459	0.854254	0.842071	0.869432	
814.252502	0.861437	0.867037	0.854510	0.841883	0.868830	
815.835754	0.860786	0.866457	0.854763	0.841567	0.868941	
817.418884	0.861196	0.866597	0.853955	0.841026	0.868311	
819.001831	0.860438	0.866172	0.854925	0.841574	0.869154	
820.584656	0.861377	0.866287	0.854825	0.841408	0.869342	
822.167358	0.861199	0.866183	0.853975	0.841453	0.869174	
823.750000	0.861050	0.866200	0.853509	0.841342	0.869219	
825.332336	0.861102	0.865798	0.854365	0.841931	0.869185	
826.914673	0.861127	0.865361	0.853797	0.841775	0.868238	
828.496704	0.861365	0.866989	0.853680	0.841889	0.868682	
830.078735	0.861108	0.866074	0.853269	0.841684	0.868212	
831.660522	0.861685	0.865885	0.853676	0.841096	0.867886	
833.242188	0.861659	0.865582	0.853456	0.841273	0.868384	
834.823730	0.861310	0.865519	0.853862	0.841239	0.868730	
836.405090	0.861562	0.866161	0.853731	0.841443	0.868526	
837.986206	0.861206	0.866030	0.854608	0.841665	0.867585	
839.567261	0.861318	0.865765	0.854731	0.842031	0.867970	
841.148254	0.861764	0.866389	0.854162	0.841517	0.868262	
842.729004	0.861967	0.865271	0.854078	0.841971	0.868581	
844.309570	0.861601	0.864979	0.854447	0.842298	0.868622	
845.890015	0.861459	0.865078	0.853798	0.842088	0.867948	
847.470398	0.861901	0.865790	0.853643	0.841738	0.868150	
849.050476	0.861521	0.865572	0.853312	0.841016	0.867687	
